time_key,Fiscal Year,Fiscal Quarter,Week Number in Quarter
358,FY2023,FY2023-Q4,8
359,FY2023,FY2023-Q4,9
360,FY2023,FY2023-Q4,9
361,FY2023,FY2023-Q4,9
362,FY2023,FY2023-Q4,9
363,FY2023,FY2023-Q4,9
364,FY2023,FY2023-Q4,9
365,FY2023,FY2023-Q4,9
366,FY2024,FY2024-Q1,1
367,FY2024,FY2024-Q1,1
368,FY2024,FY2024-Q1,1
369,FY2024,FY2024-Q1,1
370,FY2024,FY2024-Q1,1
371,FY2024,FY2024-Q1,1
372,FY2024,FY2024-Q1,1
373,FY2024,FY2024-Q1,10
374,FY2024,FY2024-Q1,10
375,FY2024,FY2024-Q1,10
376,FY2024,FY2024-Q1,10
377,FY2024,FY2024-Q1,10
378,FY2024,FY2024-Q1,10
379,FY2024,FY2024-Q1,10
380,FY2024,FY2024-Q1,11
381,FY2024,FY2024-Q1,11
382,FY2024,FY2024-Q1,11
383,FY2024,FY2024-Q1,11
384,FY2024,FY2024-Q1,11
385,FY2024,FY2024-Q1,11
386,FY2024,FY2024-Q1,11
387,FY2024,FY2024-Q1,12
388,FY2024,FY2024-Q1,12
389,FY2024,FY2024-Q1,12
390,FY2024,FY2024-Q1,12
391,FY2024,FY2024-Q1,12
392,FY2024,FY2024-Q1,12
393,FY2024,FY2024-Q1,12
394,FY2024,FY2024-Q1,13
395,FY2024,FY2024-Q1,13
396,FY2024,FY2024-Q1,13
397,FY2024,FY2024-Q1,13
398,FY2024,FY2024-Q1,13
399,FY2024,FY2024-Q1,13
400,FY2024,FY2024-Q1,13
401,FY2024,FY2024-Q1,13
402,FY2024,FY2024-Q1,2
403,FY2024,FY2024-Q1,2
404,FY2024,FY2024-Q1,2
405,FY2024,FY2024-Q1,2
406,FY2024,FY2024-Q1,2
407,FY2024,FY2024-Q1,2
408,FY2024,FY2024-Q1,2
409,FY2024,FY2024-Q1,3
410,FY2024,FY2024-Q1,3
411,FY2024,FY2024-Q1,3
412,FY2024,FY2024-Q1,3
413,FY2024,FY2024-Q1,3
414,FY2024,FY2024-Q1,3
415,FY2024,FY2024-Q1,3
416,FY2024,FY2024-Q1,4
417,FY2024,FY2024-Q1,4
418,FY2024,FY2024-Q1,4
419,FY2024,FY2024-Q1,4
420,FY2024,FY2024-Q1,4
421,FY2024,FY2024-Q1,4
422,FY2024,FY2024-Q1,4
423,FY2024,FY2024-Q1,5
424,FY2024,FY2024-Q1,5
425,FY2024,FY2024-Q1,5
426,FY2024,FY2024-Q1,5
427,FY2024,FY2024-Q1,5
428,FY2024,FY2024-Q1,5
429,FY2024,FY2024-Q1,5
430,FY2024,FY2024-Q1,6
431,FY2024,FY2024-Q1,6
432,FY2024,FY2024-Q1,6
433,FY2024,FY2024-Q1,6
434,FY2024,FY2024-Q1,6
435,FY2024,FY2024-Q1,6
436,FY2024,FY2024-Q1,6
437,FY2024,FY2024-Q1,7
438,FY2024,FY2024-Q1,7
439,FY2024,FY2024-Q1,7
440,FY2024,FY2024-Q1,7
441,FY2024,FY2024-Q1,7
442,FY2024,FY2024-Q1,7
443,FY2024,FY2024-Q1,7
444,FY2024,FY2024-Q1,8
445,FY2024,FY2024-Q1,8
446,FY2024,FY2024-Q1,8
447,FY2024,FY2024-Q1,8
448,FY2024,FY2024-Q1,8
449,FY2024,FY2024-Q1,8
450,FY2024,FY2024-Q1,8
451,FY2024,FY2024-Q1,9
452,FY2024,FY2024-Q1,9
453,FY2024,FY2024-Q1,9
454,FY2024,FY2024-Q1,9
455,FY2024,FY2024-Q1,9
456,FY2024,FY2024-Q1,9
457,FY2024,FY2024-Q1,9
